fill	x	y	tooltip	clickSelects	PANEL	xmin	xmax	ymin	ymax	colour	size
#D4D4E8	0.297979797979798	0.443181818181818	( 0.73 ,  0.96 )	px=-1; pz=2.2	17	0.247474747474747	0.348484848484849	0.386363636363636	0.5	#D4D4E8	0
#BFBFDD	0.297979797979798	0.556818181818182	( 0.61 ,  0.92 )	px=-1; pz=2.7	17	0.247474747474747	0.348484848484849	0.5	0.613636363636364	#BFBFDD	0
#DBDBEC	0.297979797979798	0.670454545454545	( 0.33 ,  1.11 )	px=-1; pz=3.2	17	0.247474747474747	0.348484848484849	0.613636363636364	0.727272727272727	#DBDBEC	0
#FFFFFF	0.297979797979798	0.784090909090909	( 0 ,  Inf )	px=-1; pz=3.7	17	0.247474747474747	0.348484848484849	0.727272727272727	0.840909090909091	#FFFFFF	0
#FFFFFF	0.297979797979798	0.897727272727273	( 0 ,  Inf )	px=-1; pz=4.2	17	0.247474747474747	0.348484848484849	0.840909090909091	0.954545454545454	#FFFFFF	0
#FEFEFE	0.398989898989899	0.102272727272727	( 0 ,  Inf )	px=-0.5; pz=0.7	17	0.348484848484849	0.44949494949495	0.0454545454545455	0.159090909090909	#FEFEFE	0
#FEFDFD	0.398989898989899	0.215909090909091	( 0.13 ,  Inf )	px=-0.5; pz=1.2	17	0.348484848484849	0.44949494949495	0.159090909090909	0.272727272727273	#FEFDFD	0
#9A4D4D	0.398989898989899	0.329545454545455	( 1.96 ,  3.86 )	px=-0.5; pz=1.7	17	0.348484848484849	0.44949494949495	0.272727272727273	0.386363636363636	#9A4D4D	0
#F8F3F3	0.398989898989899	0.443181818181818	( 0.99 ,  1.08 )	px=-0.5; pz=2.2	17	0.348484848484849	0.44949494949495	0.386363636363636	0.5	#F8F3F3	0
#F9F5F5	0.398989898989899	0.556818181818182	( 0.99 ,  1.07 )	px=-0.5; pz=2.7	17	0.348484848484849	0.44949494949495	0.5	0.613636363636364	#F9F5F5	0
#F3EAEA	0.398989898989899	0.670454545454545	( 0.84 ,  1.39 )	px=-0.5; pz=3.2	17	0.348484848484849	0.44949494949495	0.613636363636364	0.727272727272727	#F3EAEA	0
#FEFDFD	0.398989898989899	0.784090909090909	( 0.05 ,  Inf )	px=-0.5; pz=3.7	17	0.348484848484849	0.44949494949495	0.727272727272727	0.840909090909091	#FEFDFD	0
#FFFFFF	0.398989898989899	0.897727272727273	( 0 ,  Inf )	px=-0.5; pz=4.2	17	0.348484848484849	0.44949494949495	0.840909090909091	0.954545454545454	#FFFFFF	0
#FFFFFF	0.5	0.102272727272727	( 0 ,  Inf )	px=0; pz=0.7	17	0.44949494949495	0.55050505050505	0.0454545454545455	0.159090909090909	#FFFFFF	0
#FEFEFE	0.5	0.215909090909091	( 0.02 ,  Inf )	px=0; pz=1.2	17	0.44949494949495	0.55050505050505	0.159090909090909	0.272727272727273	#FEFEFE	0
#8E3939	0.5	0.329545454545455	( 2.57 ,  6.59 )	px=0; pz=1.7	17	0.44949494949495	0.55050505050505	0.272727272727273	0.386363636363636	#8E3939	0
#EDDFDF	0.5	0.443181818181818	( 1.03 ,  1.18 )	px=0; pz=2.2	17	0.44949494949495	0.55050505050505	0.386363636363636	0.5	#EDDFDF	0
#F6EFEF	0.5	0.556818181818182	( 1 ,  1.09 )	px=0; pz=2.7	17	0.44949494949495	0.55050505050505	0.5	0.613636363636364	#F6EFEF	0
#E3CDCD	0.5	0.670454545454545	( 1 ,  1.4 )	px=0; pz=3.2	17	0.44949494949495	0.55050505050505	0.613636363636364	0.727272727272727	#E3CDCD	0
#F8F3F3	0.5	0.784090909090909	( 0.36 ,  Inf )	px=0; pz=3.7	17	0.44949494949495	0.55050505050505	0.727272727272727	0.840909090909091	#F8F3F3	0
#FFFFFF	0.5	0.897727272727273	( 0 ,  Inf )	px=0; pz=4.2	17	0.44949494949495	0.55050505050505	0.840909090909091	0.954545454545454	#FFFFFF	0
#FFFFFF	0.601010101010101	0.102272727272727	( 0 ,  Inf )	px=0.5; pz=0.7	17	0.55050505050505	0.651515151515151	0.0454545454545455	0.159090909090909	#FFFFFF	0
#FEFEFE	0.601010101010101	0.215909090909091	( 0 ,  Inf )	px=0.5; pz=1.2	17	0.55050505050505	0.651515151515151	0.159090909090909	0.272727272727273	#FEFEFE	0
